NAV Date|Fund Code|Fund Name|IM Code|IM Name|CB Code|CB Name|NAV per Unit|NAV|30 Days Performance (%)|Last 1 Year Performance (%)|Last 1 Year Real Performance (%)|Outstanding Unit
20200121|IIM02MXCIFELOW00|REKSA DANA INSIGHT FELLOWSHIP|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1176.243|43256893108.33|1.27|1.48|1.48|36775479.6225
20200121|IIM02MXCIGENER00|REKSA DANA INSIGHT GENERATE BALANCED FUND|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1103.835|723542365011.15|-2.09|6.27|6.27|655480676.3969
20200121|IIM02MXCIGENER02|REKSA DANA INSIGHT GENERATE BALANCED FUND 2|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|955.493|34609123509.63|1.54|9.54|9.54|36221233.7778
20200121|IIM02MXCIGREEN00|REKSA DANA INSIGHT GREEN|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|911.811|57571077878.21|1.2|7.13|7.13|63139243.9101
20200121|IIM02MXCIGROWT00|REKSA DANA INSIGHT GROWTH BALANCED FUND|IIM02|PT Insight Investments Management|BRI01|BANK RAKYAT INDONESIA (PERSERO), PT|947.3293|113679520925.88|1.28|9.92|8.28|120000000
20200121|IIM02MXCIGURU000|REKSADANA GURU|IIM02|PT Insight Investments Management|BMAN1|BANK MANDIRI, PT - CUSTODY|933.7248|724303329960.19|2.08|-26.44|-26.44|775713890.828
20200121|IIM02MXCINEXTG00|REKSA DANA INSIGHT TUNAS BANGSA|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1002.8292|526485313359.55|0.83|7.51|7.51|525000000
20200121|IIM02MXCINEXTG02|REKSA DANA INSIGHT TUNAS BANGSA BALANCED FUND 2|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|751.891|749405989717.67|-1.21|0|0|996694959.5143
20200121|IIM02MXCINLIFE00|REKSA DANA INSIGHT LIFE|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1574.106|159218753672.97|0.97|5.84|5.84|101148716.5705
20200121|IIM02MXCINSDED00|REKSA DANA INSIGHT DEDICATE MIX FUND|IIM02|PT Insight Investments Management|BMAN1|BANK MANDIRI, PT - CUSTODY|896.4294|43594965800.01|1.69|6.32|6.32|48631788.4399
20200121|IIM02MXCINSPIR00|REKSA DANA INSIGHT INSPIRASI|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1372.31|46025598611.52|1.63|4.89|4.89|33538780.2232
20200121|IIM02MXCIPLAN000|REKSA DANA INSIGHT PLAN|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|769.895|29878339498.29|1.07|0.36|0.36|38808309.9843
20200121|IIM02MXCISUPOR00|REKSA DANA INSIGHT SUPPORT|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|979.643|48547411555.45|1.3|7.56|7.56|49556219.9923
20200121|IIM02MXSISHARE00|Reksa Dana Insight Syariah Berimbang I SHARE|IIM02|PT Insight Investments Management|BALI1|BANK PERMATA Tbk, PT|1726.2414|22038709573.5|0.08|47.02|44.84|12766876.1075
20200121|IIM02PFCIINFRA00|REKSA DANA TERPROTEKSI INSIGHT INFRASTRUKTUR|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1009.221|136093498663.27|1.08|4.49|4.49|134850000
20200121|IIM02PFCIPROGV03|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI GOVERNMENT FUND 3|IIM02|PT Insight Investments Management|BCA01|BANK CENTRAL ASIA Tbk, PT|1112.1958|55609788569.84|1.96|0|0|50000000
20200121|IIM02PFCIPROTK02|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 2|IIM02|PT Insight Investments Management|BMAN1|BANK MANDIRI, PT - CUSTODY|951.9722|98576718721.26|0.48|-0.66|-0.66|103550000
20200121|IIM02PFCIPROTK03|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 3|IIM02|PT Insight Investments Management|BMAN1|BANK MANDIRI, PT - CUSTODY|990.4365|121989556189.27|-1.22|0.76|0.76|123167469.8996
20200121|IIM02PFCIPROTK05|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 5|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1037.649|44844145514.91|0.7|0.53|0.53|43217075.2571
20200121|IIM02PFCIPROTK07|RDT INSIGHT TERPROTEKSI 7|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|1309.1211|84861912489.35|1.34|12.51|12.51|64823576.3191
20200121|IIM02PFCIPROTK08|RDT INSIGHT TERPROTEKSI 8|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|1043.6608|52183041503.41|1.08|11.68|11.68|50000000
20200121|IIM02PFCIPROTK10|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 10|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|750.944|129040244378.96|2.63|-4.15|-4.15|171837471.3519
20200121|IIM02PFCIPROTK11|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 11|IIM02|PT Insight Investments Management|MEGA3|BANK MEGA Tbk, PT|1019.6119|95081012863.26|1.47|11.92|11.92|93252164.7992
20200121|IIM02PFCIPROTK12|RDT INSIGHT TERPROTEKSI 12|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|946.1211|196793199310.48|0.75|9.36|9.36|208000000
20200121|IIM02PFCIPROTK14|RDT INSIGHT TERPROTEKSI 14|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|1010.6704|104099060027.96|0.62|9.43|9.43|103000000
20200121|IIM02PFCIPROTK15|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 15|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|871.843|274716027172.7|0.9|-2.88|-2.88|315098097.5567
20200121|IIM02PFCIPROTK16|RDT INSIGHT TERPROTEKSI 16|IIM02|PT Insight Investments Management|DBSI1|PT BANK DBS INDONESIA|1022.4216|236179390109.67|0.84|10.37|10.37|231000000
20200121|IIM02PFCIPROTK18|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 18|IIM02|PT Insight Investments Management|MEGA3|BANK MEGA Tbk, PT|1029.1315|280550613856.2|1.72|23.46|23.46|272609102.4487
20200121|IIM02PFCIPROTK19|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 19|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|933.068|321488476794.56|0.83|-0.67|-0.67|344550000
20200121|IIM02PFCIPROTK20|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 20|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|995.188|119664969569.81|-0.22|4.81|4.81|120243586.1452
20200121|IIM02PFCIPROTK23|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 23|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1013.821|351350468405.03|1.29|3.71|3.71|346560750.1235
20200121|IIM02PFCIPROTK24|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 24|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|1000.63|159100114994.96|-0.59|4.17|4.17|159000000
20200121|IIM02PFCIPROTK25|REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 25|IIM02|PT Insight Investments Management|BNI01|BANK NEGARA INDONESIA (PERSERO), TBK|944.64|82656006654.85|1.2|3.96|3.96|87500000
